日期,点击次数,展示,点击率,排名
2026-05-07,0,0,,
2026-05-08,0,0,,
2026-05-09,0,0,,
2026-05-10,0,0,,
2026-05-11,0,0,,
2026-05-12,0,2,0%,5
2026-05-13,0,0,,
2026-05-14,0,2,0%,12.5
2026-05-15,0,11,0%,73.1
2026-05-16,0,4,0%,55.2
2026-05-17,0,5,0%,59
2026-05-18,0,9,0%,38.9
2026-05-19,0,4,0%,33.2
2026-05-20,0,9,0%,75.4
2026-05-21,1,12,8.33%,42.6
2026-05-22,0,0,,
2026-05-23,0,8,0%,33.5
2026-05-24,1,23,4.35%,36.4
2026-05-25,1,13,7.69%,16.7
2026-05-26,0,8,0%,19.8
2026-05-27,0,18,0%,23.7
2026-05-28,0,15,0%,26.4
2026-05-29,0,4,0%,7
2026-05-30,0,11,0%,24.1
2026-05-31,0,8,0%,31.1
2026-06-01,0,7,0%,16
2026-06-02,0,6,0%,37
2026-06-03,0,15,0%,23.7
2026-06-04,0,10,0%,21.7
2026-06-05,0,4,0%,60.8
2026-06-06,0,3,0%,89.3
2026-06-07,0,16,0%,23.2
2026-06-08,0,4,0%,20.8
2026-06-09,0,8,0%,17.1
2026-06-10,0,11,0%,27.5
2026-06-11,0,16,0%,29.9
2026-06-12,0,16,0%,52.4
2026-06-13,0,15,0%,42.9
2026-06-14,0,20,0%,40.4
2026-06-15,0,18,0%,35.8
2026-06-16,0,8,0%,23.6
2026-06-17,0,26,0%,28.7
2026-06-18,0,24,0%,37.8
2026-06-19,0,18,0%,46.4
2026-06-20,0,22,0%,31.6
2026-06-21,0,21,0%,40
2026-06-22,0,17,0%,51.4
2026-06-23,0,18,0%,37.7
2026-06-24,0,11,0%,21
2026-06-25,0,8,0%,34.4
2026-06-26,0,23,0%,23.8
2026-06-27,0,5,0%,54.8
2026-06-28,1,15,6.67%,34.2
2026-06-29,0,13,0%,30.3
2026-06-30,0,15,0%,36.3
2026-07-01,0,12,0%,27.3
2026-07-02,0,11,0%,42.9
2026-07-03,0,14,0%,45.5
2026-07-04,0,20,0%,42.4
2026-07-05,0,17,0%,35.7
2026-07-06,1,16,6.25%,29.1
2026-07-07,0,19,0%,41.8
2026-07-08,1,13,7.69%,51.6
2026-07-09,0,24,0%,32.8
2026-07-10,1,15,6.67%,31.5
2026-07-11,0,13,0%,58.2
2026-07-12,0,9,0%,20.9
2026-07-13,1,16,6.25%,18.5
2026-07-14,0,15,0%,24.7
2026-07-15,0,19,0%,42.8
2026-07-16,1,37,2.7%,43.2
2026-07-17,0,25,0%,52.8
2026-07-18,0,18,0%,49.2
2026-07-19,1,24,4.17%,43.4
2026-07-20,0,23,0%,49.1
2026-07-21,0,38,0%,44.4
2026-07-22,0,40,0%,37.1
2026-07-23,1,38,2.63%,39.7
2026-07-24,0,32,0%,63.3
2026-07-25,0,35,0%,52.3
2026-07-26,0,44,0%,32
2026-07-27,0,43,0%,42.5
2026-07-28,0,50,0%,45.5
2026-07-29,0,50,0%,41.7
2026-07-30,2,52,3.85%,29.6
2026-07-31,0,49,0%,37.6
2026-08-01,1,39,2.56%,29.5
2026-08-02,0,47,0%,30.4
2026-08-03,1,36,2.78%,27.3
2026-08-04,1,50,2%,27.9
2026-08-05,1,56,1.79%,27.2
